start_date,shutdown_status,end_date,country,sub_region,geo_scope,shutdown_type_new,affected_network,full or service-based,ordered_by,actual_cause,official_just,duration_affected_days,access_now_ID
13-May-2019,Ended,17-May-2019,Sri Lanka,Southern Asia,Level 3,Shutdown,"Broadband, Mobile",Service-based,Executive government,Communal Violence,Fake News / Hate Speech / Incendiary Content or Promoting Violence,5,98
11-Oct-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,Law enforcement,Communal Violence,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,187
25-Jul-2019,Ended,30-Jul-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Law enforcement,Communal Violence,Fake News / Hate Speech / Incendiary Content or Promoting Violence,6,163
10-Jun-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Local government,Communal Violence,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,127
08-Jan-2019,Ended,12-Jan-2019,India,Southern Asia,Level 2,Shutdown,Mobile,Full network,State government,Communal Violence,Fake News / Hate Speech / Incendiary Content or Promoting Violence,5,11
25-Aug-2019,Ended,26-Aug-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Communal Violence,Fake News / Hate Speech / Incendiary Content or Promoting Violence,2,175
24-Jan-2019,Ended,25-Jan-2019,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,Local government,Communal Violence,Other,2,19
13-Feb-2019,Ended,14-Feb-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,Local government,Communal Violence,Other,2,33
23-Feb-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,Mobile,"Service-based, Full network",Local government,Communal Violence,Other,1,41
11-May-2019,Ended,14-May-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Communal Violence,Other,4,95
20-Apr-2019,Ended,20-Apr-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Communal Violence,Other,1,76
